Clinic Name,Address,State,Email,Google_Full_Address,Latitude,Longitude,Extracted_Pincode,Mapped_District,Brand_name,Clinic_Type
Ankitha M,3 392 C SK NAGAR SEELANAICKENPATTI SALEM,TAMIL NADU,drankitha1011@gmail.com,"J4GW+CWQ, No.3, 392-c, S K Nagar, P M Nagar, Seelanaickenpatti, Salem, Tamil Nadu 636201",11.6644696,78.0469168,636201,Salem,ANKITHA,Independent
ANNAI HOSPITAL,"5-82/1, KURUMPANAI ROAD, KARUNGAL",TAMIL NADU,annaihospital2022@gmail.com,"66MV+M5M, New Junction Karungal ,Kurumpanai Turning, Karungal, Tamil Nadu 629157",8.2342642,77.2223235,629157,Kanyakumari,ANNAI,Chained
Annai Hospital Sri Test Tube Baby Center,351 DSP Nagar main road Ponmeni,TAMIL NADU,annaihospital20@gmail.com,"351, Dinamalar Ave, Ponmeni, Madurai, Tamil Nadu 625016",9.9255534,78.0878068,625016,Madurai,ANNAI,Chained
Annai Velankanni Nursing Home,"1/111 Somasinayanar Street, Murugankurichi, Palayamkottai",TAMIL NADU,avinfy@gmail.com,"1/111, Somasinayanar Street, Murugankurichi, Tirunelveli-2, Palayamkottai, Tirunelveli, Tamil Nadu 627002",8.7271848,77.7096475,627002,Tirunelveli,ANNAI,Chained
ANTO SPECIALITY CLINIC,PLOT NO 7 FIRST MAIN ROAD VAISHNAVI NAGAR MEDAVAKKAM CHENNAI,TAMIL NADU,antospecialityclinic@gmail.com,"Plot No 7, 1st Main Rd, Munusamy Nagar, vaishnavi Nagar, Medavakkam, Chennai, Tamil Nadu 600100",12.916228,80.1695513,600100,Chennai,ANTO,Independent
ANU FERTILITY CENTER,"PRG Hospital,No,85,Sakkarapuram,Thiruvannamalai high road,Gingee",TAMIL NADU,drjarumai73@gmail.com,"No 85 , ThiruvannaMalai High Road , Opposite to State bank of India, opposite to ICICI Bank, Gingee, Tamil Nadu 604202",12.2528892,79.3932954,604202,Viluppuram,ANU,Independent
Apollo Fertility - Annanagar,"No 75, 6th avenue, O No 7, S Block, Annanagar, Chennai",TAMIL NADU,kingsly.edward@apollofertility.com,"75, 6th Ave, Old No:7, S Block, Anna Nagar, Chennai, Tamil Nadu 600040",13.0923635,80.1913401,600040,Chennai,APOLLO,Chained
Apollo Fertility - Karapakkam,"a Unit of Apollo Specialty Hospitals, N0:2/319, OMR Service Road, Karapakkam",TAMIL NADU,vijaya_m@apollohospitals.com,"OMR Landmark, Aravind theatre, OMR Service Rd, Karapakkam, Chennai, Tamil Nadu 600097",12.915091,80.2092085,600097,Chennai,APOLLO,Chained
Apollo Medical Centre,"VCT Building, 36/2, opposite A M M MATRICULATION HIGHER SECONDARY SCHOOL, beside Alliance Group, Chitra Nagar, Kotturpuram, Chennai, Tamil Nadu 600085",TAMIL NADU,sabari2828@gmail.com,"VCT Building, 36/2, opposite A M M MATRICULATION HIGHER SECONDARY SCHOOL, beside Alliance Group, Chitra Nagar, Kotturpuram, Chennai, Tamil Nadu 600085",13.0184941,80.2203711,600085,Chennai,APOLLO,Chained
Apollo Women's Hospital,"No.16, Shafee Mohammed Road, Thousand Lights, Chennai",TAMIL NADU,ramasubramanian_k@apollohospitals.com,"16/7, Shafee Mohammed Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006",13.0601839,80.2317058,600006,Chennai,APOLLO,Chained
APS Maternity & surgical centre,"101-9 Arumuga mudaliar garden, Cuddalore main road,South extension,Ammapet,Salem",TAMIL NADU,abarnasaravanan@email.com,"101-9, Arumuga Mudaliar St, south extension, Ammapet, Salem, Tamil Nadu 636003",11.659574,78.1712291,636003,Salem,APS,Independent
AR HOSPITAL AND FERTILITY CENTRE,"NO. 46/6, MADURAI ROAD, RAMANATHAPURAM",TAMIL NADU,arhospitalramnad@yahoo.com,"46, 9R79+VWF, 6, Madurai - Rameswaram Hwy, near ISHWARYA HOSPITAL, Davendrar Nagar, Chalai Bazar, Ramanathapuram, Tamil Nadu 623502",9.3619009,78.7877702,623502,Ramanathapuram,AR,Independent
ARAVIND HOSPITAL,"55-B,GANDHI SALAI, RASIPURAM.",TAMIL NADU,aravindhospitalrsp@gmail.com,"Pattanam Rd, Housing Board, Rasipuram, Tamil Nadu 637408",11.4644907,78.1719465,637408,Namakkal,ARAVIND,Chained
ARC INTERNATIONAL FERTILITY AND RESEARCH CENTRE  PVT LTD,NO 4622CASA MAJAOR ROAD EGMORE CHENNAI 08,TAMIL NADU,art_egmorenew@arcfertility.in,"19, CASA Major Rd, Sulaiman Zackria Avenue, Egmore, Chennai, Tamil Nadu 600008",13.0701158,80.2340629,600008,Chennai,ARC,Chained
ARC INTERNATIONAL FERTILITY AND RESEARCH CENTRE PRIVATE LIMITED,"No. 13, 13 A, GST ROAD, IRUMBULIYUR, WEST TAMBARAM",TAMIL NADU,art_Tambaram@arcfertility.in,"13, Grand Southern Trunk Rd, West Tambaram, Irumbuliyur, Chennai, Tamil Nadu 600045",12.918745,80.0883453,600045,Chennai,ARC,Chained
ARC INTERNATIONAL FERTILITY AND RESEARCH CENTRE PRIVATE LIMITED,"NO.22/2, &22/3, ESI HOSPITALROAD, PERAVALLUR,, CHENNAI-11, Tamil Nadu, India,",TAMIL NADU,sathya@arcfertility.in,"22/2, ESI Hospital Road, Junction, near Peravallur, Peravallur, Perambur, Chennai, Tamil Nadu 600011",13.1160493,80.2121949,600011,Chennai,ARC,Chained
Arc International Fertility and Research Centre Pvt Ltd,"21/5c, Sivagangai main road, opp to aavin office, Madurai",TAMIL NADU,art_Madurai@arcfertility.in,"SNP Towers, 21/5C, Sivagangai Main Rd, opposite to Aavin Milk Project, Managiri, Madurai, Tamil Nadu 625020",9.9263281,78.1421737,625020,Madurai,ARC,Chained
Arc International Fertility and Research Centre Pvt Ltd,"644/4,Avinashi road, P.N.Palayam(Lakshmi mills junction)",TAMIL NADU,art_Coimbatore@arcfertility.in,"Lakshmi Mills Junction, 644/4, Avinashi Rd, Pappanaickenpalayam, Coimbatore, Tamil Nadu 641037",11.0723034,76.4998498,641037,Coimbatore,ARC,Chained
Arc International Fertility and Research Centre Pvt Ltd,"11/91,NVGB Hall Road,EB Colony,Nagal nagar, Dindigul",TAMIL NADU,art_Dindigul@arcfertility.in,"Landmark (Inside Bharathi Mission Hospital, 11/91, NVGB Hall Rd, EB Colony, Nagal Nagar, Tamil Nadu 624003",10.3554247,77.958377,624003,Dindigul,ARC,Chained
Arc International Fertility and Research Centre Pvt Ltd,"No:8A,Almighty Tower, Ground floor,Vadasery,Nagercoil.",TAMIL NADU,art_Nagercoil@arcfertility.in,"Ground Floor, 8A, Almighty Towers, Vadasery Rd, near Bus Stand, Nagercoil, Tamil Nadu 629001",8.1921633,77.4265891,629001,Kanyakumari,ARC,Chained
Arc International Fertility and Research Centre Pvt Ltd,"2nd floor Door no 52/10 3/5 Jagirammapalayam Near Global Medical centre (147.00 km),",TAMIL NADU,art_Salem@arcfertility.in,"1, Ethiraj Salai, next to Raddison Blu, Ethirajsamy Salai, Egmore, Chennai, Tamil Nadu 600008",12.9928238,80.1772888,600008,Chennai,ARC,Chained
Arc International Fertility and Research Centre Pvt Ltd,"Door.No.147/6,Second floor, Railway Feeder road. Ramanathapuram",TAMIL NADU,art_Ramnad@arcfertility.in,"Second floor, Landmark-Inside Gani hospital, 147/6, Railway Feeder Rd, Ganthi Nagar, Ramanathapuram, Tamil Nadu 623504",9.3586369,78.8175544,623504,Ramanathapuram,ARC,Chained
Arc International Fertility and Research Centre Pvt Ltd,"14A/1,South Bypass road, Melapalayam, Tirunelveli",TAMIL NADU,art_Tirunelveli@arcfertility.in,"14A/1, S Bypass Rd, near Saravana Selvarathinam Stores, Melapalayam, Tirunelveli, Tamil Nadu 627005",8.7109009,77.6991593,627005,Tirunelveli,ARC,Chained
Arc International Fertility and Research Centre Pvt Ltd,"102/283,New katpadi road, opp to new bus stand, Vellore",TAMIL NADU,art_Vellore@arcfertility.in,"102/283, Opp to New bus stand, New Bridge Rd, next to Hotel Saravana Bhavan, Vevekanandar Nagar, Thottapalayam, Vellore, Tamil Nadu 632004",12.9326951,79.1318439,632004,Vellore,ARC,Chained
Arc International Fertility and Research Centre Pvt Ltd,"1533,A.Kanji road, Vengikkal near Vengikkal arch, Thiruvannamalai,Tamilnadu",TAMIL NADU,art_Thiruvannamalai@arcfertility.in,"1540 A, Kanji - Tiruvannamalai Rd, near Vengikkal, Thendral Nagar, Vengikkal, arch, Annamalai R.F., Tamil Nadu 606604",12.2497806,79.050215,606604,Tiruvannamalai,ARC,Chained
Arc International Fertility and Research Centre Pvt Ltd,"No:D-22,First floor, Room.No.001, M.T.H Road,Ambattur industrial estate,Ambattur",TAMIL NADU,art_Ambattur@arcfertility.in,"D-22, Madras Thiruvallur High Rd, Old Ambattur, Sai Nagar, Ambattur Industrial Estate, Ambattur, Chennai, Tamil Nadu 600053",13.1013412,80.1398887,600053,Chennai,ARC,Chained
ARC International Fertility And Research Centre Pvt. Ltd.,"No.162, 3rd Floor Corporate Block,  Saveetha Medical College Hospital, Poonamalee High Rd, Kuthampakkam",TAMIL NADU,art_saveethanew@arcfertility.in,"Block, 162, Poonamallee High Rd, Karayanchavadi, Thiruverkadu, Chennai, Tamil Nadu 600056",13.0469709,80.0900658,600056,Chennai,ARC,Chained
ARKAH FERTILITY CENTRE AND WOMENS HOSPITAL,4A FIRST FLOOR MEDAVAKKAM MAIN ROAD MADIPAKKAM CHENNAI,TAMIL NADU,ARKAHFERTILITYCENTRE@GMAIL.COM,"4A, First Floor, Plot, Medavakkam Main Rd, Madipakkam, Chennai, St.Thomas Mount-cum-Pallavaram, Tamil Nadu 600091",12.96594,80.1677147,600091,Chennai,ARKAH,Independent
AROKIA MMADHA IUI CENTRE,AROKIA MADHA NIYALAYAM HOSPITAL GANGAVALLI,TAMIL NADU,arokiamadhaiui@gmail.com,"tk. dt, near union office, Gangavalli, Tamil Nadu 636105",11.5052674,78.6227169,636105,Salem,AROKIA,Independent
AROKYA HOSPITAL,"12/22-B,SURAMANGALAM MAIN ROAD,3 ROAD,",TAMIL NADU,arokyacare@outlook.com,"12, Three Roads, 22B, Suramangalam Main Rd, Meyyanur, Salem, Tamil Nadu 636009",11.2585408,77.0013531,636009,Salem,AROKYA,Independent
ART  Clinic,NO. 1 CHAIRMAN CIDHAMBARAM STREET WEST SHANMUGAPURAM,TAMIL NADU,devakihospital2013@gmail.com,"Ground Floor, Tower B 84, Bascon Maeru Towers, Kodambakkam High Rd, Nungambakkam, Chennai, Tamil Nadu 600034",13.053077,80.2225785,600034,Chennai,ART,Chained
ART clinic,"vamsam fertility research centre No.12,13 Sarojini street Ranipet District,Arakkonam,",TAMIL NADU,arakkonamvamsam@gmail.com,"No.12, 13 Sarojini street Ranipet, District, Arakkonam, Tamil Nadu 631001",13.0863263,79.6617482,631001,Ranipet,ART,Chained
ART Clinic,"VIJAYA MULTI SPECIALITY HOSPITAL NO:4/486-A, PENNAGARAM MAIN ROAD, DHARMAPURI",TAMIL NADU,vijayahospitalpro@gmail.com,"4/486-A, Pennagaram Main Road, near Vijay Vidhyalaya Boys School, Dharmapuri, Annai Sathya Nagar, Tamil Nadu 636701",12.1596137,78.1279433,636701,Salem,ART,Chained
ART CLINIC,"RAM MEDICAL CENTRE,BEHIND GURUAMUDHAS,SATHY ROAD,SARAVANAMPATTI",TAMIL NADU,suganvenkatesh@gmail.com,"95/1C, Sathy Rd, behind Hotel Guru Amadhas, Saravanampatti, Coimbatore, Tamil Nadu 641035",11.0735283,76.9809455,641035,Coimbatore,ART,Chained
ART clinic,"224, Sathyamoorthy road, Ramnagar",TAMIL NADU,esjaycraftivf@gmail.com,"224, Sathyamurthy Rd, Peranaidu Layout, Ram Nagar, Coimbatore, Tamil Nadu 641009",11.0238943,76.9365871,641009,Coimbatore,ART,Chained
ART Clinic,"24/5,Lavanya enclave,srp nagar,saibaba colony,coimbatore",TAMIL NADU,meyaivf@gmail.com,"24-5, Second Floor, Lavanya Enclave, SRP Nagar, Saibaba Colony, Coimbatore, Tamil Nadu 641011",11.993981,73.2917122,641011,Coimbatore,ART,Chained
ART CLINIC,"NO.11A, CHITHRA TOWER, KAMALAPURAM COLONY (NEAR SAIBABA TEMPLE) REDHILLS ROAD, AMBATTUR CHENNAI",TAMIL NADU,swathi.fertilitycentre@gmail.com,"520/3, MTH Road, Ambattur OT, near SHAH Electronics, West Krishnapuram, Chennai, Tamil Nadu 600053",12.9944065,79.9314249,600053,Chennai,ART,Chained
ART CLINIC,187 /2 SUGUNAA HOSPITAL BANGALOW STREET ERODE ROAD  THIRUCHENGODU,TAMIL NADU,abilab2010@gmail.com,"9VHR+797, Attur - Rasipuram - Erode Rd, Mahadhavapuram, Tiruchengode, Tamil Nadu 637211",11.375365,77.8755522,637211,Namakkal,ART,Chained
ART clinic,"Swathi hospital,no 6 thennamarasalai, thiruvizhanthur, Mayiladuthurai",TAMIL NADU,baskaranvanaja4@gmail.com,"6, THANNAMARA STREET, Mayiladuthurai, Thiruindalur, Tamil Nadu 609001",11.0789254,79.4566628,609001,Mayiladuthurai,ART,Chained
ART clinic,Madurai medical college OG department,TAMIL NADU,oggrhmadurai@gmail.com,"W4HP+CP6, Panagal Rd, Alwarpuram, Madurai, Tamil Nadu 625020",9.9285912,78.1161792,625020,Madurai,ART,Chained
ART CLINIC,"NO 28, FIRST AVENUE INDIRA NAGAR ADYAR",TAMIL NADU,pphhospitalart@gmail.com,"No 86, Thiag apartments, 1st Ave, Indira Nagar, Adyar, Chennai, Tamil Nadu 600020",12.9939799,80.243273,600020,Chennai,ART,Chained
ARUL HOSPITAL,6 THIRU VI KA NAGAR PUTHUR TRICHIRAPPALLI,TAMIL NADU,arulhospital@gmail.com,"6, T.V.K. Nagar, Opp Maruthi Hospital Vannarapettai, Puthur, Tiruchirappalli, Tamil Nadu 620017",10.8100378,78.6587457,620017,Trichy,ARUL,Independent
Arun Hospital,"No.15,Thiyagarajapuram, Vellore",TAMIL NADU,arunhospital2005@yahoo.co.in,"No-15, Thiyagarajapuram Rd, Sasthri Nagar, Veerasamy Nagar, Vellore, Tamil Nadu 632001",12.9031265,79.1128342,632001,Vellore,ARUN,Chained
Arun Hospital,"Opp BUs stand, Bodi",TAMIL NADU,dramuthabodi@gmail.com,"Bharathi Nagar, Tharamani, Chennai, Tamil Nadu 600113",12.9942215,80.0990604,600113,Chennai,ARUN,Chained
ARUN HOSPITAL PVT LTD,"185-186 MUNICHALAI ROAD, MADURAI",TAMIL NADU,arunhospitalpvtltd@gmail.com,"185-186, Munichalai Rd, Madurai, Tamil Nadu 625001",9.9211438,78.1232041,625001,Madurai,ARUN,Chained
ASHWIN FED SPECIALITY HOSPITAL,"29,KURUVIKARAN SALAI,ANNA NAGAR,MADURAI",TAMIL NADU,ashwinspecialityhospital@gmail.com,"&, 29/64, 1st Cross St, Kuruvikaran Salai, Gandhi Nagar, Shenoy Nagar, Madurai, Tamil Nadu 625020",9.9228474,78.1375947,625020,Madurai,ASHWIN,Independent
ASHWIN MODULAR TEST TUBE BABY CENTRE,545 SKC ROAD SURAMPATTI NALL ROAD ERODE,TAMIL NADU,ashwinchitrathangavel@gmail.com,"545, SKC Road, Kaikolar Thottam, Erode, Tamil Nadu 638001",11.3441846,77.6968039,638001,Erode,ASHWIN,Independent
ASHWINI FERTILITY CENTRE,"4/17-2 IYERBUNGALOW ROAD , MOONDRUMAVADI,K.PUDUR .MADURAI",TAMIL NADU,ashwinimsh2012@gmail.com,"4-17/2, Iyer Bungalow Rd, K.Pudur, Madurai, Tamil Nadu 625007",9.9547887,78.1475181,625007,Madurai,ASHWINI,Independent
Asirvatham Speciality Hospital,"No:22, Rajaji Street, Gandhi Nagar,Madurai",TAMIL NADU,asirvathamhospital@gmail.com,"22, Rajaji St, Gandhi Nagar, Shenoy Nagar, Madurai, Tamil Nadu 625020",9.9230611,78.1357704,625020,Madurai,ASIRVATHAM,Independent
"Assisted Reproduction and Research Centre, G.Kuppuswamy Naidu Memorial Hospital","Post Box No : 6327, Nethaji Road, Pappanaikenpalayam",TAMIL NADU,art@gknmh.org,"Netaji Rd, Pappanaickenpalayam, Coimbatore, Tamil Nadu 641037",11.0124346,76.9772735,641037,Coimbatore,ASSISTED,Independent
ATHVEKA MULTISPECIALITY CLINIC ( OPC ) PRIVATE LIMITED,"NO 45B, ALAGESAN NAGAR,B BLOCK,CHENGALPATTU,KANCHIPURAM",TAMIL NADU,sasikalaog@gmail.com,"45 B, opp. Government Hospital, Alagesan Nagar, Chengalpattu, Tamil Nadu 603001",12.6793975,79.9584795,603001,Chengalpattu,ATHVEKA,Independent
AVM HOSPITAL,135 PALAYAMKOTTAI ROAD THOOTHUKUDI,TAMIL NADU,quality@avmh.in,"135, Palayamkottai Rd, Toovipuram, Thoothukudi, Tamil Nadu 628001",8.8015625,78.1167803,628001,Thoothukudi,AVM,Independent
AYSHA FERTILITY CENTRE,"SEVALAI ROAD, THIRUKOVILUR",TAMIL NADU,ayshafertilitycentre@gmail.com,"173/243, Trichy Main Rd, Highways Nagar, Viluppuram, Tamil Nadu 605602",11.9513395,78.6833577,605602,Viluppuram,AYSHA,Independent
BABUS MATERNITY HOSPITAL,"7, DURAISAMY REDDY STREET, WEST TAMBARAM",TAMIL NADU,babusmaternityhospital@gmail.com,"2nd Floor, 7, Duraiswamy Reddy St, West Tambaram, Tambaram, Chennai, Tamil Nadu 600045",12.9296236,80.0989041,600045,Chennai,BABU,Independent
BABY IVF CENTRE,"NO.71B,Narimedu main road,Narimedu,Madurai.",TAMIL NADU,babyivfcentremadurai@gmail.com,"STAR HOSPITAL, Narimedu Main Rd, Narimedu, Madurai, Tamil Nadu 625002",9.9424607,77.9628034,625002,Madurai,BABY,Independent
BABY STEPS FERTILITY CENTRE,"25, Mettukuppam main road Chokanathar Nagar Maduravoyal",TAMIL NADU,manjula2000srmc@gmail.com,"25, Mettukuppam Rd, Pallavan Nagar, Maduravoyal, Chennai, Tamil Nadu 600095",13.0630925,80.1541149,600095,Chennai,BABY,Independent
Bala clinic,"51 A ,Ganamalar complex ,old post office odai street",TAMIL NADU,priyasakthi.c@yahoo.com,"1, 1st Avenue, 20, Indira Nagar, Adyar, Chennai, Tamil Nadu 600020",12.9927025,80.2376969,600020,Chennai,BALA,Independent
BGR FRTILITY CENTRE,"No: 268/1, VELLAIGOUNDANPALAIYAM VILLAGE",TAMIL NADU,bgrhospital@gmail.com,"13, Gandhi Nagar 1st Main Rd, Kasturba Nagar, Adyar, Chennai, Tamil Nadu 600020",12.9938902,80.1784684,600020,Chennai,BGR,Independent
Bhagyaa test tube baby center,"H18,J J nagar,sendurai road,kurumanchavadi, Ariyalur",TAMIL NADU,bhagyaa.ivf.ariyalur@gmail.com,"Subramaniya Nagar, Ariyalur, Tamil Nadu 621713",11.1438528,79.0581819,621713,Trichy,BHAGYAA,Independent
Bhanu hospital,"157,third cross street,Sankar Nagar,pammal,Chennai",TAMIL NADU,drramyaerode@gmail.com,"157, 3rd Cross St, Easwari Nagar, Shankar Nagar, Pammal, Chennai, Tamil Nadu 600075",12.9661574,80.1051674,600075,Chennai,BHANU,Independent
